cement,blast,flyash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength
54.0,0.0,0.0,16.2,2.5,104.0,67.6,28,79.99
54.0,0.0,0.0,16.2,2.5,105.5,67.6,28,61.89
33.25,142.5,0.0,22.8,0.0,93.2,59.4,270,40.27
33.25,142.5,0.0,22.8,0.0,93.2,59.4,365,41.05
19.86,132.4,0.0,19.2,0.0,97.84,82.55,360,44.3
26.6,114.0,0.0,22.8,0.0,93.2,67.0,90,47.03
38.0,95.0,0.0,22.8,0.0,93.2,59.4,365,43.7
38.0,95.0,0.0,22.8,0.0,93.2,59.4,28,36.45
26.6,114.0,0.0,22.8,0.0,93.2,67.0,28,45.85
47.5,0.0,0.0,22.8,0.0,93.2,59.4,28,39.29
19.86,132.4,0.0,19.2,0.0,97.84,82.55,90,38.07
19.86,132.4,0.0,19.2,0.0,97.84,82.55,28,28.02
42.75,47.5,0.0,22.8,0.0,93.2,59.4,270,43.01
19.0,190.0,0.0,22.8,0.0,93.2,67.0,90,42.33
30.4,76.0,0.0,22.8,0.0,93.2,67.0,28,47.81
38.0,0.0,0.0,22.8,0.0,93.2,67.0,90,52.91
13.959999999999999,209.4,0.0,19.2,0.0,104.7,80.69,90,39.36
34.2,38.0,0.0,22.8,0.0,93.2,67.0,365,56.14
38.0,95.0,0.0,22.8,0.0,93.2,59.4,90,40.56
47.5,0.0,0.0,22.8,0.0,93.2,59.4,180,42.62
42.75,47.5,0.0,22.8,0.0,93.2,59.4,180,41.84
13.959999999999999,209.4,0.0,19.2,0.0,104.7,80.69,28,28.24
13.959999999999999,209.4,0.0,19.2,0.0,104.7,80.69,3,8.06
13.959999999999999,209.4,0.0,19.2,0.0,104.7,80.69,180,44.21
38.0,0.0,0.0,22.8,0.0,93.2,67.0,365,52.52
38.0,0.0,0.0,22.8,0.0,93.2,67.0,270,53.3
38.0,95.0,0.0,22.8,0.0,93.2,59.4,270,41.15
34.2,38.0,0.0,22.8,0.0,93.2,67.0,180,52.12
